rounds: 10 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.45 | p_tx_dist: 0.01 | initialized in 468.265µs | seeds: (1892731727480350901, 11110007860818464515) | simulation done in 205.949ms | count of tx upon which consensus was reached 313
rounds: 10 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.3 | p_tx_dist: 0.01 | initialized in 517.127µs | seeds: (1415799866725536380, 827712065576727332) | simulation done in 368.129ms | count of tx upon which consensus was reached 327
rounds: 10 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.45 | p_tx_dist: 0.05 | initialized in 662.935µs | seeds: (6417054032616608824, 5187657449133515186) | simulation done in 407.488ms | count of tx upon which consensus was reached 498
rounds: 10 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.15 | p_tx_dist: 0.01 | initialized in 504.228µs | seeds: (5838233893504971024, 14115966839917283349) | simulation done in 536.721ms | count of tx upon which consensus was reached 318
rounds: 10 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.3 | p_tx_dist: 0.05 | initialized in 707.986µs | seeds: (6961650347974158560, 13502782642950077650) | simulation done in 582.998ms | count of tx upon which consensus was reached 496
rounds: 10 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.45 | p_tx_dist: 0.1 | initialized in 1.108ms | seeds: (6568202974100048599, 90826680053123566) | simulation done in 461.607ms | count of tx upon which consensus was reached 500
rounds: 10 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.3 | p_tx_dist: 0.1 | initialized in 904.120µs | seeds: (18043039220389450013, 13634290252944139091) | simulation done in 692.521ms | count of tx upon which consensus was reached 500
rounds: 10 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.15 | p_tx_dist: 0.05 | initialized in 721.860µs | seeds: (14364186325872223705, 734505000692465916) | simulation done in 850.769ms | count of tx upon which consensus was reached 496
rounds: 10 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.15 | p_tx_dist: 0.1 | initialized in 1.079ms | seeds: (14347508479147754255, 13320435671451499566) | simulation done in 1.075s | count of tx upon which consensus was reached 500
rounds: 10 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.45 | p_tx_dist: 0.01 | initialized in 637.792µs | seeds: (1540524622470365207, 6070239082493622287) | simulation done in 398.060ms | count of tx upon which consensus was reached 303
rounds: 10 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.3 | p_tx_dist: 0.01 | initialized in 620.386µs | seeds: (4307579900861529209, 11947549191142634721) | simulation done in 696.516ms | count of tx upon which consensus was reached 307
rounds: 10 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.15 | p_tx_dist: 0.01 | initialized in 576.698µs | seeds: (17084480372566255088, 10147051368040842183) | simulation done in 1.023s | count of tx upon which consensus was reached 305
rounds: 10 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.3 | p_tx_dist: 0.05 | initialized in 869.645µs | seeds: (3211092954531610097, 17804018728575831846) | simulation done in 1.167s | count of tx upon which consensus was reached 497
rounds: 10 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.3 | p_tx_dist: 0.1 | initialized in 1.129ms | seeds: (8702486822804324073, 3645554995794310744) | simulation done in 1.210s | count of tx upon which consensus was reached 500
rounds: 10 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.45 | p_tx_dist: 0.05 | initialized in 917.173µs | seeds: (16401645009516759529, 3041754423641100938) | simulation done in 963.978ms | count of tx upon which consensus was reached 500
rounds: 10 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.45 | p_tx_dist: 0.1 | initialized in 1.163ms | seeds: (1177643891317303241, 11024801637038438165) | simulation done in 881.694ms | count of tx upon which consensus was reached 500
rounds: 10 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.15 | p_tx_dist: 0.05 | initialized in 807.220µs | seeds: (12048565305297135516, 5765841322496436948) | simulation done in 1.943s | count of tx upon which consensus was reached 499
rounds: 10 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.15 | p_tx_dist: 0.1 | initialized in 1.253ms | seeds: (9640305855155476155, 2087316521752481995) | simulation done in 1.852s | count of tx upon which consensus was reached 500
rounds: 10 | txs: 500 | p_graph: 0.3 | p_byzantine: 0.3 | p_tx_dist: 0.01 | initialized in 668.560µs | seeds: (16154861103712100653, 5235464579613820897) | simulation done in 876.879ms | count of tx upon which consensus was reached 311
rounds: 10 | txs: 500 | p_graph: 0.3 | p_byzantine: 0.15 | p_tx_dist: 0.01 | initialized in 648.252µs | seeds: (15967726333776762528, 15180902761027934645) | simulation done in 1.543s | count of tx upon which consensus was reached 319
